Mecha
Nudity
Ecchi
Fanservice
Action
Science Fiction
Isekai
Yuri
Military
Supernatural
contemporary fantasy
fantasy
Magic
Love Polygon
Romance
Harem
Shounen
Zombie
Horror
Seinen
Comedy
Angst
Gore
Sex
Lolicon
Loli
original work
Adventure
Historical
Past
Drama
Martial Arts
Mystery
angst
anthropomorphism
Violence
high school
school life
samurai
large breasts
Vampire
Future
shoujo
coming of age
sports
ninja
slapstick
parody
